tiempo,Tratamiento,Conc,abs
24,2,800,0.8338
24,2,800,0.8533
24,2,800,0.8473
24,2,1000,0.75
24,2,1000,0.7642
24,2,1000,0.7733
24,3,400,0.9385
24,3,400,0.9771
24,3,400,0.9901
24,3,800,0.2773
24,3,800,0.2829
24,3,800,0.292
24,3,1000,0.2488
24,3,1000,0.254
24,3,1000,0.2654
24,4,400,0.9621
24,4,400,0.9935
24,4,400,1.0012
24,4,800,0.7822
24,4,800,0.7772
24,4,800,0.7922
24,4,1000,0.7677
24,4,1000,0.7859
24,4,1000,0.7748
24,5,400,0.9627
24,5,400,1.0177
24,5,400,1.0202
24,5,800,0.876
24,5,800,0.8889
24,5,800,0.8895
24,5,1000,0.7631
24,5,1000,0.7812
24,5,1000,0.7847
